sku,name,imgurl,category,description
A07474S,Полироль для приборной панели матовый (Кофе) (триггер) 250 мл AVS AVK-608,https://avs-auto.ru/storage/photo/resized/axy_210x210/g/hirnehlz0u09ykm_d22098a5.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A07479S,Полироль для приборной панели глянцевый (яблоко) (триггер) 250 мл AVS AVK-612,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/bmkcvb2t3o7hsh7_b0dc3c71.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A07475S,Полироль для приборной панели глянцевый (триггер) 250 мл AVS AVK-603,https://avs-auto.ru/storage/photo/resized/axy_210x210/i/vcfj1ja4j8s4ar6_35315c6a.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A07478S,Полироль для приборной панели глянцевый (кокос) (триггер) 250 мл AVS AVK-611,https://avs-auto.ru/storage/photo/resized/axy_210x210/a/w3iov9isv2x808c_a00e9cb1.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A07477S,Полироль для приборной панели глянцевый (зеленый чай) (триггер) 250 мл AVS AVK-610,https://avs-auto.ru/storage/photo/resized/axy_210x210/b/hptf539zjhc91mo_d8030f88.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A07476S,Полироль для приборной панели глянцевый (Горная свежесть) (триггер) 250 мл AVS AVK-609,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/4qqlcita64ybyq0_9c4150ae.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A78391S,Грунт универсальный (серый) (аэрозоль) 520 мл AVS AVK-151,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/wun09cheh543v4g_7e619971.jpg,Лакокрасочные материалы,"Высококачественная акриловая грунтовка предназначена для подготовки к окраске металлических и деревянных поверхностей всеми видами лакокрасочных материалов, кроме алкидно-уретановых и меламино-алкидных."
A78390S,Грунт универсальный (белый) (аэрозоль) 520 мл AVS AVK-150,https://avs-auto.ru/storage/photo/resized/axy_210x210/i/aedtvx08roakenc_27e802e0.jpg,Лакокрасочные материалы,"Высококачественная акриловая грунтовка предназначена для подготовки к окраске металлических и деревянных поверхностей всеми видами лакокрасочных материалов, кроме алкидно-уретановых и меламино-алкидных."
A07472S,Полироль для приборной панели матовый (Кокос) 250 мл AVS AVK-606,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/ecpa305a5sb553u_906cf467.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A78392S,Грунт универсальный (чёрный) (аэрозоль) 520 мл AVS AVK-152,https://avs-auto.ru/storage/photo/resized/axy_210x210/g/nzf612wkq5uzyly_1df57af8.jpg,Лакокрасочные материалы,"Высококачественная акриловая грунтовка предназначена для подготовки к окраске металлических и деревянных поверхностей всеми видами лакокрасочных материалов, кроме алкидно-уретановых и меламино-алкидных."
A07470S,Полироль для приборной панели матовый (Горная свежесть) (триггер) 250 мл AVS AVK-604,https://avs-auto.ru/storage/photo/resized/axy_210x210/f/0lmfef8yobr90ou_74b8e35.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A78357S,Герметик-фиксатор (анаэробный) высокопрочный 6 мл AVS AVK-133,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/pjp9n7w95gienek_47e92404.jpg,Клеи и герметики,"Полимеризуется в зазорах до 0,4 мм между поверхностями без доступа воздуха, обеспечивая:"
A07480S,Полироль для приборной панели глянцевый (кофе) (триггер) 250 мл AVS AVK-613,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/a80ibdsft934wfw_904c8ab7.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A78355S,Герметик-фиксатор (анаэробный) высокотемпературный 6 мл AVS AVK-131,https://avs-auto.ru/storage/photo/resized/axy_210x210/h/kwa9bvjjoa5weg0_a9f1d503.jpg,Клеи и герметики,Герметик-фиксатор термостойкий предназначен для фиксации и герметизации любых резьбовых соединений. Работает при сочетании однородных и разнородных металлов.
A78072S,Очиститель-кондиционер кожи (аэрозоль) 335 мл AVS AVK-031,https://avs-auto.ru/storage/photo/resized/axy_210x210/d/c92w7asls4oczb2_19069986.jpg,Для салона,"Предназначен для удаления загрязнений различного происхождения с кожаной обивки салона автомобиля, мотоцикла, а также кожаных вещей, используемых в быту."
A78958S,"Гель для рук ""Антибактериальный"" 60 мл AVS AVK-049",https://avs-auto.ru/storage/photo/resized/axy_210x210/c/byk07lyq7gsvmxx_164e97ea.jpg,Очистители для рук,"Антисептический гель для рук на основе этилового спирта всего за 15 секунд уничтожает 99,99% наиболее распространенных болезнетворных бактерий, грибов и вирусов."
A78356S,Герметик-фиксатор (анаэробный) средней фиксации 6 мл AVS AVK-132,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/w5q9m08ek4so2i4_6bf696c4.jpg,Клеи и герметики,"Полимеризуется в зазорах до 0,4 мм между поверхностями без доступа воздуха, обеспечивая:"
A78859S,Герметик системы охлаждения 340 мл AVS AVK-169,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/1phxw5orfphcvwl_3ac3538e.jpg,Для подкапотного пространства,"Надежно и быстро устраняет течи радиатора, отопителя и прочих элементов системы охлаждения. Одинаково эффективен для латунных и алюминиевых радиаторов. Совместим со всеми типами охлаждающих жидкостей, не нарушает их химический баланс."
A78063S,"Паста ""Антицарапин"" (туба) 100 мл AVS AVK-071",https://avs-auto.ru/storage/photo/resized/axy_210x210/f/ty2j53h9x0hwt39_2916a7f1.jpg,"Для стекол, фар и кузова","Устраняет поверхностные царапины, потускнения лакокрасочного покрытия автомобиля."
A78073S,Очиститель шин пенный (аэрозоль) 520 мл AVS AVK-032,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/brvoex0t8jem20s_87fa0633.jpg,Для колес и шин,"Пенная формула эффективно очищает, придает блеск и восстанавливает структуру шин и других резиновых элементов автомобиля. Растворяет и удаляет накопившиеся загрязнения, включая въевшуюся грязь и дорожный налет."
A78120S,Очиститель электроконтактов (аэрозоль) 335 мл AVS AVK-033,https://avs-auto.ru/storage/photo/resized/axy_210x210/d/mkzcjnkegkzf0ht_525e96af.jpg,Для подкапотного пространства,"Предназначен для очистки контактов электрооборудования автомобиля, компьютеров, аудио- и видеотехники, а также любых других электрических приборов и устройств."
A78225S,"Очиститель цепей ""Универсальный обезжириватель"" (аэрозоль) 520 мл AVS AVK-039",https://avs-auto.ru/storage/photo/resized/axy_210x210/e/i0d76l7a05pvdd7_1e805562.jpg,Сервисные средства и смазки,"Применяется для полного удаления масел, жиров, силиконов, смолы, гудрона с приводных цепей мотоциклов, мопедов, велосипедов, мотороллеров, снегоходов и другого вида техники с цепными приводами."
A78241S,Очиститель стёкол зимний (триггер) 500 мл AVS AVK-125,https://avs-auto.ru/storage/photo/resized/axy_210x210/h/61vuax2t6y1tcza_48b25fbd.jpg,"Для стекол, фар и кузова",Предназначен для очистки стекол автомобиля в зимний период. Температура замерзания -25°C.
A78524S,Очиститель электроконтактов (аэрозоль) 140 мл AVS AVK-047,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/twsc5rjz0pvztnt_fa857237.jpg,Для подкапотного пространства,"Незаменим при обслуживании таких элементов и деталей автомобиля, как: электроплаты, штекерные соединения, реле, зажимы, клеммы, цоколи ламп, распределители зажигания, стартеры, генераторы, антенны и т.д."
A78074S,Чернитель шин (аэрозоль) 520 мл AVS AVK-070,https://avs-auto.ru/storage/photo/resized/axy_210x210/a/s4gk0qfj80x2lne_e65cf391.jpg,Для колес и шин,Эффективное средство для восстановления внешнего вида автомобильных шин и других резиновых элементов автомобиля. Возвращает насыщенный чёрный цвет.
A78714S,Полироль для приборной панели глянцевый (Яблоко) 125 мл AVS AVK-084,https://avs-auto.ru/storage/photo/resized/axy_210x210/d/hj62m601bbcs7yo_e5eeee81.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный глянцевый блеск."
A07471S,Полироль для приборной панели матовый (Зеленый чай) (триггер) 250 мл AVS AVK-605,https://avs-auto.ru/storage/photo/resized/axy_210x210/h/9kjzgq0j0j0drpj_4a477db0.jpg,Для салона,"Эффективное средство для очистки и полировки приборной панели, пластиковых и резиновых деталей автомобиля."
A78069S,"Очиститель стекол ""Пенный"" (аэрозоль) 335 мл AVS AVK-028",https://avs-auto.ru/storage/photo/resized/axy_210x210/c/hnq1ll5lz759i07_863055.jpg,"Для стекол, фар и кузова","Идеально очищает стекла, фары и зеркала автомобиля от масляных, жировых и никотиновых отложений. Не оставляет разводы, не создает блики."
A07487S,Преобразователь ржавчины 1 л AVS AVK-187,https://avs-auto.ru/storage/photo/resized/axy_210x210/b/6rgfo4ajtwys1r9_f890dc07.jpg,Средства от коррозии,Предназначен для преобразования ржавчины на поверхности черных металлов в целях подготовки их к окрашиванию.
A78920S,Жидкая резина (зеленый) (аэрозоль) 650 мл AVS AVK-307,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/98rv2hpuhpr8205_c6730ba.jpg,Лакокрасочные материалы,"Высококачественное средство для дизайнерских работ, временной защиты любых поверхностей, тюнинга авто и мототехники. Обладает бархатистой резиновой фактурой, сохраняет эластичность при любых погодных условиях и легко удаляется, без применения специальных средств."
A78717S,Полироль для приборной панели глянцевый (Кофе) 125 мл AVS AVK-087,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/ah820aurco65vgh_2bd26f6d.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный глянцевый блеск."
A07535S,"Автошампунь для б/к мойки ""Active Foam"" (1:1) 20 кг AVS OPTIMUM PF-10",https://avs-auto.ru/storage/photo/resized/axy_210x210/c/tft2v0essr6lv24_161b395d.jpg,Автошампуни и воск для сушки,"Концентрированное средство для бесконтактной мойки автомобильного транспорта. Удаляет дорожную пыль, масло, грязь, следы насекомых."
